Size,Time_MSD_RadixSort,Time_MSD_RadixSort_with_QuickSort,Time_Standard_MergeSort,Time_Standard_QuickSort,Time_String_MergeSort,Time_String_QuickSort
100,0.114,0.228,0.052,0.038,0.118,0.05
200,0.205,1.39,0.094,0.08,0.246,0.09
300,0.294,2.931,0.158,0.146,0.381,0.166
400,0.368,4.857,0.228,0.292,0.588,0.264
500,0.499,7.29,0.267,0.277,0.724,0.298
600,0.622,11.197,0.313,0.321,0.874,0.39
700,0.761,15.231,0.39,0.357,1.053,0.45
800,0.78,21.322,0.419,0.452,1.267,0.517
900,0.852,25.698,0.497,0.517,1.535,0.618
1000,1.03,58.516,0.573,0.647,1.509,0.709
1100,1.109,38.93,0.626,0.601,1.651,0.739
1200,1.248,42.609,0.747,0.771,1.873,0.924
1300,1.252,50.109,0.808,0.806,2.17,1.059
1400,1.478,57.929,0.883,0.848,2.302,1.113
1500,1.517,62.485,0.939,0.897,2.442,1.167
1600,1.528,67.187,1.057,1.012,2.77,1.237
1700,1.736,71.781,1.13,1.068,3.03,1.342
1800,1.731,78.627,1.16,1.122,3.203,1.465
1900,1.873,82.862,1.201,1.173,3.283,1.641
2000,2.081,90.023,1.259,1.267,3.391,1.571
2100,2.0,93.966,1.319,1.276,3.697,1.873
2200,2.211,100.099,1.421,1.409,3.677,1.866
2300,2.323,107.116,1.48,1.503,4.01,2.018
2400,2.527,110.79,1.603,1.57,4.229,2.102
2500,2.614,116.858,1.689,1.669,4.358,2.128
2600,2.641,123.45,1.776,1.676,4.665,2.19
2700,2.869,129.444,1.792,1.846,4.916,2.277
2800,2.897,134.267,1.741,1.947,5.099,2.448
2900,3.02,140.013,1.941,2.03,5.179,2.601
3000,3.214,145.853,1.996,1.256,5.612,2.722
