Size,Time_MSD_RadixSort,Time_MSD_RadixSort_with_QuickSort,Time_Standard_MergeSort,Time_Standard_QuickSort,Time_String_MergeSort,Time_String_QuickSort
100,0.187,2.131,0.042,0.046,0.155,0.082
200,0.4,9.108,0.105,0.123,0.334,0.23
300,0.477,18.205,0.176,0.183,0.615,0.396
400,0.577,27.559,0.242,0.213,0.865,0.521
500,0.717,36.62,0.302,0.31,1.106,0.643
600,0.818,45.267,0.339,0.361,1.209,0.87
700,0.93,54.531,0.43,0.456,1.431,0.914
800,0.983,63.744,0.494,0.491,1.829,1.145
900,1.2,73.005,0.571,0.538,1.988,1.309
1000,1.311,82.984,0.713,0.639,2.263,1.406
1100,1.352,92.226,0.75,0.726,2.543,1.695
1200,1.692,102.207,0.778,0.731,2.745,1.898
1300,1.544,112.462,0.851,0.834,3.096,1.956
1400,1.77,124.283,0.997,0.93,3.333,2.38
1500,1.833,134.479,1.027,0.971,3.63,2.472
1600,2.122,144.339,1.132,1.108,3.78,2.906
1700,2.167,154.269,1.211,1.084,4.226,2.773
1800,2.498,165.302,1.262,1.305,4.445,3.08
1900,2.632,174.794,1.343,1.28,4.652,3.599
2000,2.773,186.607,1.435,1.327,5.02,3.693
2100,2.845,195.311,1.619,1.465,5.308,3.533
2200,3.133,210.026,1.658,1.619,5.72,4.02
2300,3.2,228.707,1.801,1.591,5.821,3.825
2400,3.319,231.976,1.788,1.709,6.146,4.304
2500,3.57,244.55,1.912,1.843,6.369,4.275
2600,3.853,255.789,1.917,1.835,6.724,4.988
2700,4.099,268.643,2.12,1.956,6.967,4.646
2800,4.1,280.584,2.166,2.084,7.11,5.228
2900,4.349,320.317,2.304,2.149,7.525,5.547
3000,4.64,306.08,2.392,2.202,7.721,5.589
