Size,Time_MSD_RadixSort,Time_MSD_RadixSort_with_QuickSort,Time_Standard_MergeSort,Time_Standard_QuickSort,Time_String_MergeSort,Time_String_QuickSort
100,0.102,0.823,0.089,0.145,0.136,0.048
200,0.272,4.647,0.104,0.112,0.285,0.11
300,0.383,9.348,0.175,0.177,0.401,0.177
400,0.381,14.12,0.233,0.234,0.574,0.266
500,0.457,18.088,0.316,0.307,0.77,0.357
600,0.488,22.417,0.357,0.359,0.876,0.389
700,0.574,26.864,0.435,0.504,1.071,0.534
800,0.591,31.559,0.473,0.493,1.208,0.546
900,0.68,36.325,0.554,0.587,1.369,0.656
1000,0.723,39.319,0.657,0.638,1.654,0.806
1100,0.793,45.267,0.725,0.721,1.917,0.844
1200,0.932,50.08,0.822,0.787,2.058,0.945
1300,1.206,56.034,0.9,0.842,2.154,1.024
1400,1.152,60.846,1.092,0.944,2.483,1.136
1500,1.312,65.569,1.006,0.98,2.527,1.14
1600,1.327,70.558,1.155,1.128,2.983,1.3
1700,1.473,75.843,1.24,1.214,2.998,1.438
1800,1.613,78.6,1.285,1.196,3.165,1.567
1900,1.641,84.313,1.349,1.256,3.509,1.607
2000,1.684,88.905,1.4,1.326,3.662,1.698
2100,1.897,94.525,1.561,1.465,3.866,1.78
2200,1.919,100.412,1.564,1.485,3.989,1.875
2300,2.09,106.368,1.707,1.556,4.319,1.974
2400,2.346,116.26,1.856,1.774,4.626,2.039
2500,2.434,117.445,1.888,1.808,4.504,2.362
2600,2.608,122.435,1.902,1.844,4.667,2.447
2700,2.696,127.001,2.096,1.953,4.821,2.438
2800,3.105,135.786,2.129,1.964,5.376,2.81
2900,2.995,140.559,2.225,2.269,5.547,2.934
3000,3.067,145.391,2.275,2.291,5.797,2.771
