Size,Time_MSD_RadixSort,Time_MSD_RadixSort_with_QuickSort,Time_Standard_MergeSort,Time_Standard_QuickSort,Time_String_MergeSort,Time_String_QuickSort
100,0.091,0.143,0.033,0.014,0.114,0.042
200,0.195,0.613,0.085,0.028,0.225,0.093
300,0.308,1.176,0.123,0.039,0.348,0.158
400,0.419,2.08,0.176,0.05,0.503,0.224
500,0.496,3.338,0.228,0.058,0.646,0.272
600,0.576,4.62,0.272,0.07,0.778,0.334
700,0.645,6.73,0.335,0.082,0.91,0.419
800,0.73,9.098,0.41,0.094,1.065,0.474
900,0.861,11.624,0.491,0.104,1.23,0.537
1000,0.98,14.769,0.593,0.129,1.43,0.638
1100,1.06,17.403,0.584,0.132,1.537,0.684
1200,1.059,21.069,0.557,0.14,1.625,0.686
1300,1.273,24.789,0.666,0.148,1.85,0.83
1400,1.35,30.062,0.689,0.161,1.945,0.857
1500,1.472,34.393,0.778,0.185,2.164,0.972
1600,1.552,39.037,0.81,0.183,2.296,1.055
1700,1.661,44.213,0.881,0.205,2.481,1.085
1800,1.75,48.796,0.894,0.207,2.823,1.081
1900,1.917,56.088,1.021,0.234,2.858,1.253
2000,1.937,59.912,1.046,0.241,2.913,1.306
2100,2.079,66.474,1.139,0.263,3.106,1.393
2200,2.218,73.079,1.218,0.29,3.428,1.492
2300,2.187,82.1,1.23,0.286,3.296,1.577
2400,2.358,90.096,1.323,0.303,3.594,1.611
2500,2.545,97.452,1.413,0.31,3.906,1.679
2600,2.649,106.441,1.492,0.328,3.957,1.833
2700,2.536,113.952,1.486,0.309,4.292,1.818
2800,2.873,126.043,1.539,0.358,4.485,1.982
2900,3.009,141.242,1.746,0.361,4.687,2.076
3000,2.949,147.453,1.732,0.345,4.75,2.104
